#,Country,Body,Screen,Battery,Accessories,Price,Key
239,Export,GradeB,GradeB,81-85%,Cable,771,Export_GradeB_GradeB_81-85%_Cable
240,Local,GradeC,GradeC,86-90%,Box,770,Local_GradeC_GradeC_86-90%_Box
241,Local,Defective,GradeA,86-90%,Box,770,Local_Defective_GradeA_86-90%_Box
242,Export,GradeA,Defective,91-100%,None,770,Export_GradeA_Defective_91-100%_None
243,Local,GradeB,GradeC,81-85%,Box,767,Local_GradeB_GradeC_81-85%_Box
244,Export,GradeC,GradeA,80%,Box,767,Export_GradeC_GradeA_80%_Box
245,Export,GradeA,Defective,86-90%,CableBox,766,Export_GradeA_Defective_86-90%_CableBox
246,Local,GradeB,Defective,91-100%,CableBox,765,Local_GradeB_Defective_91-100%_CableBox
247,Local,GradeC,GradeB,81-85%,None,765,Local_GradeC_GradeB_81-85%_None
248,Local,GradeC,GradeC,86-90%,Cable,765,Local_GradeC_GradeC_86-90%_Cable
249,Local,Defective,GradeA,86-90%,Cable,765,Local_Defective_GradeA_86-90%_Cable
250,Local,Defective,GradeB,91-100%,CableBox,765,Local_Defective_GradeB_91-100%_CableBox
251,Local,GradeB,GradeB,80%,None,764,Local_GradeB_GradeB_80%_None
252,Export,GradeB,GradeA,80%,None,764,Export_GradeB_GradeA_80%_None
253,Local,GradeB,GradeC,81-85%,Cable,762,Local_GradeB_GradeC_81-85%_Cable
254,Export,GradeC,GradeA,80%,Cable,762,Export_GradeC_GradeA_80%_Cable
255,Export,GradeB,GradeC,86-90%,Box,761,Export_GradeB_GradeC_86-90%_Box
256,Export,GradeC,GradeB,86-90%,None,760,Export_GradeC_GradeB_86-90%_None
257,Export,GradeC,GradeC,91-100%,None,760,Export_GradeC_GradeC_91-100%_None
258,Export,Defective,GradeA,91-100%,None,760,Export_Defective_GradeA_91-100%_None
259,Export,GradeA,GradeC,80%,Box,759,Export_GradeA_GradeC_80%_Box
260,Local,GradeA,Defective,81-85%,Box,758,Local_GradeA_Defective_81-85%_Box
261,Local,GradeC,GradeB,80%,CableBox,757,Local_GradeC_GradeB_80%_CableBox
262,Export,Defective,GradeA,86-90%,CableBox,757,Export_Defective_GradeA_86-90%_CableBox
263,Export,GradeB,GradeB,81-85%,None,756,Export_GradeB_GradeB_81-85%_None
264,Export,GradeB,GradeC,86-90%,Cable,756,Export_GradeB_GradeC_86-90%_Cable
265,Export,GradeC,GradeC,86-90%,CableBox,755,Export_GradeC_GradeC_86-90%_CableBox
266,Export,GradeA,GradeC,80%,Cable,754,Export_GradeA_GradeC_80%_Cable
267,Local,GradeA,Defective,81-85%,Cable,753,Local_GradeA_Defective_81-85%_Cable
268,Export,GradeA,Defective,86-90%,Box,751,Export_GradeA_Defective_86-90%_Box
269,Local,GradeB,Defective,91-100%,Box,750,Local_GradeB_Defective_91-100%_Box
270,Local,GradeC,GradeC,86-90%,None,750,Local_GradeC_GradeC_86-90%_None
271,Local,Defective,GradeA,86-90%,None,750,Local_Defective_GradeA_86-90%_None
272,Local,Defective,GradeB,91-100%,Box,750,Local_Defective_GradeB_91-100%_Box
273,Export,GradeB,GradeB,80%,CableBox,749,Export_GradeB_GradeB_80%_CableBox
274,Local,GradeB,GradeC,81-85%,None,747,Local_GradeB_GradeC_81-85%_None
275,Export,GradeC,GradeA,80%,None,747,Export_GradeC_GradeA_80%_None
276,Export,GradeC,GradeB,81-85%,CableBox,747,Export_GradeC_GradeB_81-85%_CableBox
277,Export,GradeA,Defective,86-90%,Cable,746,Export_GradeA_Defective_86-90%_Cable
278,Local,GradeB,Defective,91-100%,Cable,745,Local_GradeB_Defective_91-100%_Cable
279,Local,Defective,GradeA,81-85%,CableBox,745,Local_Defective_GradeA_81-85%_CableBox
280,Local,Defective,GradeB,91-100%,Cable,745,Local_Defective_GradeB_91-100%_Cable
281,Local,GradeC,GradeB,80%,Box,742,Local_GradeC_GradeB_80%_Box
282,Export,Defective,GradeA,86-90%,Box,742,Export_Defective_GradeA_86-90%_Box
283,Export,GradeB,GradeC,86-90%,None,741,Export_GradeB_GradeC_86-90%_None
